en_core_web_sm,fr_core_news_sm
i m wondering whether to take on that job .,je me demande si je dois accepter ce travail .
i m being held hostage .,je suis retenue en otage .
i m getting tired . it s your turn to drive .,je commence a m endormir . c est a ton tour de conduire .
you re a little late .,tu es un peu en retard .
i am so sick .,c est moi qui suis tellement malade .
i m not sleepy .,je ne suis pas endormi .
we re getting divorced .,nous sommes en train de divorcer .
i m not as smart as you .,je ne suis pas aussi malin que toi .
i m too sick to do that .,je suis trop malade pour faire ca .
we re winning .,nous sommes en train de gagner .
i m coming to pick you up .,je viens te chercher .
you re part of the problem .,vous faites partie du probleme .
i m not unhappy .,je ne suis pas malheureuse .
you re not expecting me to help you are you ?,vous ne vous attendez pas a ce que je vous aide n est ce pas ?
you re a very selfish person .,tu es une personne tres egoiste .
i m sure i m right .,je suis sur d avoir raison .
i m sorry i m busy right now .,je suis desole je suis occupe pour l instant .
she s going to have a baby .,elle va avoir un bebe .
i m one of your employees .,je suis une de tes employees .
you re nuts !,tu es fou !
he s cruel and heartless .,il est cruel et sans c ur .
we are all alike on the inside .,nous sommes tous pareils a l interieur .
i m bleeding .,je suis en train de saigner .
you re sure about this right ?,vous etes sures de ceci n est ce pas ?
he is very sensitive to cold .,il est tres sensible au froid .
you re unnecessary .,tu n es d aucune utilite .
i m going to go to the doctor this afternoon .,je vais chez le medecin cet apres midi .
they re worried .,elles sont inquietes .
i m going to need some more time .,je vais avoir besoin de plus de temps .
i am glad to help you .,je suis contente de t aider .
she s been practicing piano for a year and can play the piano somewhat .,elle a pratique le piano pendant un an et peut y jouer un peu .
you re useless .,vous etes inutiles .
they re quiet .,ils sont discrets .
we re glad to see you .,nous sommes contentes de vous voir .
you re my reason for living .,vous etes ma raison de vivre .
i m going to work on that .,je vais y travailler .
you re always wearing the same clothes .,vous portez toujours les memes vetements .
he is used to speaking in public .,il a l habitude de parler en public .
i m sure tom had a good reason .,je suis sur que tom avait une bonne raison .
i am not a doctor but a teacher .,je ne suis pas medecin mais enseignant .
i m not selling anything .,je ne vends rien du tout .
you re famous .,tu es connue .
you re very good at this .,vous etes tres bonne a ceci .
she is wiser than i am .,elle est plus sage que je ne le suis .
they re weird .,ils sont bizarres .
he is close to sixty .,il a pres de soixante ans .
she is on a diet .,elle est au regime .
i m sure you ll do very well .,je suis sure que vous vous en sortirez tres bien .
i m sorry but you re wrong .,je suis desole mais vous avez tort .
he s a grouch .,c est un rouspeteur .
she is on the verge of a nervous breakdown .,elle est au bord de la crise de nerfs .
i m a salesperson .,je suis un vendeur .
you re not welcome here .,vous n etes pas la bienvenue ici .
they re crazy .,ils sont fous .
i m afraid this data is not reliable .,j ai bien peur que ces donnees ne soient pas fiables .
we re being blackmailed .,on nous fait chanter .
he is anxious to know the result .,il est impatient de connaitre le resultat .
i m doing well .,je vais bien .
she is getting prettier and prettier .,elle devient de plus en plus jolie .
you are blinded by love .,vous etes aveugle par l amour .
you re too old for me .,vous etes trop vieille pour moi .
we re not fussy .,nous ne sommes pas difficiles .
i am a monk .,je suis un moine .
you re no singer .,vous n etes pas chanteur .
he s good at what he does .,il est bon dans ce qu il fait .
they re asian .,ils sont asiatiques .
you re probably tired .,tu es probablement fatiguee .
you re arrogant .,tu es arrogante .
we re just not used to it yet .,nous ne sommes simplement pas encore habitues a ca .
i m afraid i didn t explain it too well .,je crains de ne pas l avoir tres bien explique .
i m writing a book .,j ecris un livre .
i m sorry i forced you to do that .,je suis desole de t avoir force a faire ca .
we re going to another party after this one .,nous nous rendons a une autre fete apres celle ci .
he is unfit to be a teacher .,il n est pas apte a etre enseignant .
i m prepared for the worst .,je suis pret pour le pire .
you re very perceptive .,tu es tres perspicace .
i m not a good liar .,je ne suis pas un bon menteur .
you re adventurous .,vous etes aventureux .
i m not talking to you tom .,je ne te parle pas tom .
i m quite happy to be in boston .,je suis tres heureuse d etre a boston .
you re probably too young to understand what is likely to happen next .,vous etes probablement trop jeune pour comprendre ce qui va sans doute se produire ensuite .
you re very resourceful .,vous etes pleine de ressources .
i m afraid she may have the mumps .,j ai peur qu elle ait les oreillons .
i m sure they re on their way .,je suis sure qu ils sont en chemin .
i m wealthy .,je suis fortunee .
they re all dead .,elles sont toutes mortes .
i m not finished with you .,je n en ai pas fini avec toi .
i m the one who s sick .,c est moi qui suis malade .
i m ready to accept my punishment .,je suis pret a accepter ma punition .
i m pretty happy .,je suis assez heureuse .
you re very sophisticated .,vous etes fort raffinees .
i m a member of the sales department .,je fais partie du service des ventes .
you re part of this .,vous en faites partie .
i m afraid of the same thing .,je crains la meme chose .
they re cool .,elles sont sympa .
he is very careful .,il est tres soigneux .
you re sure about this right ?,tu es sure de ca n est ce pas ?
he is a tennis player .,c est un joueur de tennis .
she is a child after all .,c est une enfant apres tout .
i m having lunch with my sister right now .,je suis en train de dejeuner avec ma s ur .
you re very attractive .,vous etes fort attirante .
he s a bit jealous .,il est quelque peu jaloux .
i m still working on this .,j y travaille encore .
you are strong .,tu es forte .
you re much prettier than i remember .,vous etes bien plus jolie que dans mon souvenir .
you re confused again aren t you ?,tu t embrouilles a nouveau non ?
i m a purist .,je suis un puriste .
they re not expensive .,ils ne sont pas chers .
i m a bookkeeper .,je suis comptable .
i am taking a holiday at the beach .,je prends des vacances a la plage .
she is an appalling cook .,elle est tres mauvaise cuisiniere .
i m surprised you missed that .,je suis surpris que vous ayez manque cela .
he s a construction worker .,il est employe dans le batiment .
you re pathetic .,vous etes pathetiques .
i m hitting the road .,je me casse .
i am going to the park this afternoon .,je vais au parc cet apres midi .
he is outgoing .,il est extraverti .
he s worried that he might be late .,il est preoccupe par la possibilite d etre en retard .
we re all retired .,nous sommes tous a la pension .
i m sure there s a connection .,je suis certain qu il y a un lien .
we re really lucky .,nous avons vraiment de la chance .
you re very funny .,vous etes tres marrantes .
i m sorry about last night .,je suis desolee au sujet de la nuit derniere .
i m not frightened of anything .,je n ai pas peur de quoi que ce soit .
i m not tom .,je ne suis pas tom .
he is respected by everyone .,il est respecte par tout le monde .
you re right of course .,tu as raison bien sur .
they re gone .,ils sont partis .
he s not always happy .,il n est pas toujours heureux .
i m not late am i ?,je ne suis pas en retard n est ce pas ?
i m smarter than you .,je suis plus elegant que toi .
you re such an idiot !,tu es un de ces idiots !
i m an astronomer .,je suis astronome .
i m a mature adult .,je suis un adulte mature .
she is talking .,elle a la parole .
you re very good .,vous etes fort bonne .
i m extremely disappointed by the quality of the service .,je suis extremement decu par la qualite du service .
we re unemployed .,nous sommes depourvus d emplois .
you re not allowed to eat those .,vous n etes pas autorisee a manger ceux la .
he is popular among us .,il est populaire parmi nous .
i m not happy .,je ne suis pas contente .
i m going to stop trying to be friendly with you .,je vais arreter d essayer d etre amical avec toi .
i m kidding .,je plaisante .
we re not sure what s going on .,nous ne sommes pas sur de que ce qu il est en train de se passer .
you re pathetic .,tu es pathetique .
i am used to staying up late at night .,je suis habitue a veiller tard le soir .
i m helping tom .,j aide tom .
i m smarter than you are .,je suis plus intelligent que toi .
you re loaded .,t es bourree .
i m here for good .,je suis la pour de vrai .
we re in love .,nous sommes amoureux .
i m glad you re doing better .,je me rejouis que vous vous portiez mieux .
i am too tired to climb .,je suis trop fatigue pour grimper .
we re doomed .,nous sommes condamnes .
i m stuck in a traffic jam .,je suis coince dans un embouteillage .
we re not going .,nous ne nous y rendons pas .
i m aware of my responsibilities .,je suis consciente de mes responsabilites .
i m not interested at all .,je ne suis pas du tout interessee .
